matchday,date,season,apoints,awin,AwayTeam,HomeTeam,FTHG,FTAG,covid19,HAdyad
2,2020-01-25,1819,1,0,Schalke 04,Hertha,2,2,0,HerthaSchalke 04
2,2020-01-26,1819,0,0,Hannover,Dortmund,5,1,0,DortmundHannover
2,2020-01-26,1819,3,1,Hoffenheim,Freiburg,2,4,0,FreiburgHoffenheim
2,2020-01-26,1819,0,0,Augsburg,M'gladbach,2,0,0,M'gladbachAugsburg
2,2020-01-26,1819,0,0,Nurnberg,Mainz,2,1,0,MainzNurnberg
2,2020-01-26,1819,1,0,Ein Frankfurt,Werder Bremen,2,2,0,Werder BremenEin Frankfurt
2,2020-01-26,1819,3,1,Leverkusen,Wolfsburg,0,3,0,WolfsburgLeverkusen
2,2020-01-27,1819,0,0,Stuttgart,Bayern Munich,4,1,0,Bayern MunichStuttgart
2,2020-01-27,1819,3,1,RB Leipzig,Fortuna Dusseldorf,0,4,0,Fortuna DusseldorfRB Leipzig
3,2020-02-01,1819,3,1,RB Leipzig,Hannover,0,3,0,HannoverRB Leipzig
3,2020-02-02,1819,1,0,Dortmund,Ein Frankfurt,1,1,0,Ein FrankfurtDortmund
3,2020-02-02,1819,3,1,Wolfsburg,Hertha,0,1,0,HerthaWolfsburg
3,2020-02-02,1819,1,0,Fortuna Dusseldorf,Hoffenheim,1,1,0,HoffenheimFortuna Dusseldorf
3,2020-02-02,1819,0,0,Bayern Munich,Leverkusen,3,1,0,LeverkusenBayern Munich
3,2020-02-02,1819,1,0,Werder Bremen,Nurnberg,1,1,0,NurnbergWerder Bremen
3,2020-02-02,1819,3,1,M'gladbach,Schalke 04,0,2,0,Schalke 04M'gladbach
3,2020-02-03,1819,0,0,Mainz,Augsburg,3,0,0,AugsburgMainz
3,2020-02-03,1819,1,0,Freiburg,Stuttgart,2,2,0,StuttgartFreiburg
4,2020-02-08,1819,3,1,Leverkusen,Mainz,1,5,0,MainzLeverkusen
4,2020-02-09,1819,0,0,Schalke 04,Bayern Munich,3,1,0,Bayern MunichSchalke 04
4,2020-02-09,1819,1,0,Hoffenheim,Dortmund,3,3,0,DortmundHoffenheim
4,2020-02-09,1819,1,0,Wolfsburg,Freiburg,3,3,0,FreiburgWolfsburg
4,2020-02-09,1819,0,0,Nurnberg,Hannover,2,0,0,HannoverNurnberg
4,2020-02-09,1819,3,1,Hertha,M'gladbach,0,3,0,M'gladbachHertha
4,2020-02-09,1819,1,0,Ein Frankfurt,RB Leipzig,0,0,0,RB LeipzigEin Frankfurt
4,2020-02-10,1819,0,0,Stuttgart,Fortuna Dusseldorf,3,0,0,Fortuna DusseldorfStuttgart
4,2020-02-10,1819,0,0,Augsburg,Werder Bremen,4,0,0,Werder BremenAugsburg
5,2020-02-15,1819,3,1,Bayern Munich,Augsburg,2,3,0,AugsburgBayern Munich
